2019-11-23 02:29:08,885|release|Key.enter
2019-11-23 02:29:27,727|press|'p'
2019-11-23 02:29:27,771|release|'p'
2019-11-23 02:29:28,595|press|'r'
2019-11-23 02:29:28,691|release|'r'
2019-11-23 02:29:29,759|press|Key.enter
2019-11-23 02:29:29,861|release|Key.enter
2019-11-23 02:29:51,596|press|Key.shift
2019-11-23 02:29:51,703|press|'"'
2019-11-23 02:29:51,783|release|'"'
2019-11-23 02:29:51,912|release|Key.shift
2019-11-23 02:29:52,126|press|'k'
2019-11-23 02:29:52,215|release|'k'
2019-11-23 02:29:53,023|press|Key.backspace
2019-11-23 02:29:53,095|release|Key.backspace
2019-11-23 02:29:53,180|press|Key.backspace
2019-11-23 02:29:53,257|release|Key.backspace
2019-11-23 02:29:58,713|press|Key.cmd
2019-11-23 02:29:58,792|press|Key.space
2019-11-23 02:29:58,820|release|Key.cmd
2019-11-23 02:29:58,924|release|Key.space
2019-11-23 02:30:00,037|press|Key.shift
2019-11-23 02:30:00,485|press|'Э'
2019-11-23 02:30:00,501|release|Key.shift
2019-11-23 02:30:00,563|release|'э'
2019-11-23 02:30:01,054|press|'л'
2019-11-23 02:30:01,111|release|'л'
2019-11-23 02:30:01,436|press|'ь'
2019-11-23 02:30:01,489|release|'ь'
2019-11-23 02:30:01,611|press|'б'
2019-11-23 02:30:01,671|release|'б'
2019-11-23 02:30:02,268|press|'р'
2019-11-23 02:30:02,336|press|'у'
2019-11-23 02:30:02,343|release|'р'
2019-11-23 02:30:02,405|release|'у'
2019-11-23 02:30:03,194|press|'с'
2019-11-23 02:30:03,267|release|'с'
2019-11-23 02:30:05,087|press|'-'
2019-11-23 02:30:05,157|release|'-'
2019-11-23 02:30:05,760|press|'8'
2019-11-23 02:30:05,836|release|'8'
2019-11-23 02:30:07,756|press|Key.shift
2019-11-23 02:30:08,204|press|'С'
2019-11-23 02:30:08,277|release|'С'
2019-11-23 02:30:08,704|press|'И'
2019-11-23 02:30:08,779|release|'И'
2019-11-23 02:30:09,361|release|Key.shift
2019-11-23 02:30:09,658|press|Key.backspace
2019-11-23 02:30:09,730|release|Key.backspace
2019-11-23 02:30:10,448|press|Key.shift
2019-11-23 02:30:10,547|press|'В'
2019-11-23 02:30:10,611|release|'В'
2019-11-23 02:30:10,688|release|Key.shift
2019-11-23 02:30:12,429|press|'-'
2019-11-23 02:30:12,496|release|'-'
2019-11-23 02:30:13,800|press|Key.space
2019-11-23 02:30:13,864|release|Key.space
2019-11-23 02:30:15,065|press|'8'
2019-11-23 02:30:15,129|release|'8'
2019-11-23 02:30:15,649|press|'-'
2019-11-23 02:30:15,654|release|'-'
2019-11-23 02:30:16,026|press|'я'
2019-11-23 02:30:16,110|release|'я'
2019-11-23 02:30:16,478|press|'д'
2019-11-23 02:30:16,557|release|'д'
2019-11-23 02:30:16,817|press|'е'
2019-11-23 02:30:16,893|release|'е'
2019-11-23 02:30:17,013|press|'р'
2019-11-23 02:30:17,085|release|'р'
2019-11-23 02:30:17,183|press|'н'
2019-11-23 02:30:17,235|release|'н'
2019-11-23 02:30:17,311|press|'ы'
2019-11-23 02:30:17,403|release|'ы'
2019-11-23 02:30:17,476|press|'й'
2019-11-23 02:30:17,548|release|'й'
2019-11-23 02:30:17,623|press|Key.space
2019-11-23 02:30:17,687|release|Key.space
2019-11-23 02:30:20,191|press|'м'
