2019-11-23 02:14:35,001|release|Key.enter
2019-11-23 02:15:59,053|press|'k'
2019-11-23 02:15:59,111|release|'k'
2019-11-23 02:15:59,421|press|'r'
2019-11-23 02:15:59,478|release|'r'
2019-11-23 02:15:59,546|press|'a'
2019-11-23 02:15:59,647|release|'a'
2019-11-23 02:16:00,119|press|'m'
2019-11-23 02:16:00,176|release|'m'
2019-11-23 02:16:00,201|press|'a'
2019-11-23 02:16:00,294|release|'a'
2019-11-23 02:16:00,625|press|'r'
2019-11-23 02:16:00,724|release|'r'
2019-11-23 02:16:04,216|press|Key.shift
2019-11-23 02:16:04,639|press|'&'
2019-11-23 02:16:04,733|release|'&'
2019-11-23 02:16:04,735|release|Key.shift
2019-11-23 02:16:05,875|press|Key.backspace
2019-11-23 02:16:05,935|release|Key.backspace
2019-11-23 02:16:06,585|press|'7'
2019-11-23 02:16:06,660|release|'7'
2019-11-23 02:16:07,348|press|Key.backspace
2019-11-23 02:16:07,408|release|Key.backspace
2019-11-23 02:16:07,734|press|'.'
2019-11-23 02:16:07,795|release|'.'
2019-11-23 02:16:10,921|press|'9'
2019-11-23 02:16:10,993|release|'9'
2019-11-23 02:16:11,083|press|'0'
2019-11-23 02:16:11,144|release|'0'
2019-11-23 02:16:11,270|press|'9'
2019-11-23 02:16:11,334|release|'9'
2019-11-23 02:16:11,494|press|'8'
2019-11-23 02:16:11,555|release|'8'
2019-11-23 02:16:12,896|press|Key.shift
2019-11-23 02:16:13,435|press|'@'
2019-11-23 02:16:13,516|release|'@'
2019-11-23 02:16:13,544|release|Key.shift
2019-11-23 02:16:14,360|press|'c'
2019-11-23 02:16:14,434|release|'c'
2019-11-23 02:16:14,615|press|'n'
2019-11-23 02:16:14,683|release|'n'
2019-11-23 02:16:14,759|press|'n'
2019-11-23 02:16:14,812|release|'n'
2019-11-23 02:16:17,624|press|'.'
2019-11-23 02:16:17,705|release|'.'
2019-11-23 02:16:18,476|press|'r'
2019-11-23 02:16:18,572|release|'r'
2019-11-23 02:16:18,572|press|'u'
2019-11-23 02:16:18,620|release|'u'
2019-11-23 02:16:19,697|press|Key.cmd
2019-11-23 02:16:19,793|press|Key.tab
2019-11-23 02:16:19,866|release|Key.cmd
2019-11-23 02:16:19,913|release|Key.tab
2019-11-23 02:16:21,651|press|Key.cmd
2019-11-23 02:16:21,688|press|Key.tab
2019-11-23 02:16:21,800|release|Key.cmd
2019-11-23 02:16:21,822|release|Key.tab
2019-11-23 02:16:24,577|press|Key.cmd
2019-11-23 02:16:24,701|press|Key.space
2019-11-23 02:16:24,725|release|Key.cmd
2019-11-23 02:16:24,781|release|Key.space
2019-11-23 02:16:25,009|press|Key.shift
2019-11-23 02:16:25,505|press|'А'
2019-11-23 02:16:25,573|release|'А'
2019-11-23 02:16:25,581|release|Key.shift
2019-11-23 02:16:25,947|press|'н'
2019-11-23 02:16:26,011|release|'н'
2019-11-23 02:16:26,425|press|'д'
2019-11-23 02:16:26,509|release|'д'
2019-11-23 02:16:26,832|press|'р'
2019-11-23 02:16:26,909|release|'р'
2019-11-23 02:16:27,034|press|'е'
2019-11-23 02:16:27,090|release|'е'
2019-11-23 02:16:27,165|press|'е'
2019-11-23 02:16:27,225|release|'е'
2019-11-23 02:16:27,371|press|Key.space
2019-11-23 02:16:27,439|release|Key.space
